Pregunta,Opción 1,Opción 2,Opción 3,Opción 4,Tiempo (seg)
"[Español] ¿Cuál es la letra con la que empieza la palabra ""árbol""?",o,a,e,i,30
[Español] ¿Cuál de estas palabras está escrita correctamente?,kasa,cassa,caza,casa,30
"[Español] ¿Cuál es el plural de ""lápiz""?",lapizes,lapices,lápizes,lápices,30
[Español] ¿Qué signo se usa al final de una pregunta?,",",.,!,?,30
"[Español] ¿Cuál es el sinónimo de ""feliz""?",triste,enojado,cansado,contento,30
"[Español] ¿Cuántas sílabas tiene la palabra ""manzana""?",1,3,2,4,30
"[Español] ¿Qué artículo es el correcto? ""___ casa es bonita""",Los,La,El,Las,30
"[Español] ¿Cuál es el antónimo de ""grande""?",largo,alto,pequeño,pesado,30
[Matemáticas] ¿Cuánto es 5 + 3?,6,7,9,8,30
[Matemáticas] ¿Cuánto es 10 - 4?,8,5,6,7,30
[Matemáticas] ¿Cuál número es el más grande?,45,89,72,98,30
[Matemáticas] ¿Cuántos lados tiene un cuadrado?,4,6,3,5,30
[Matemáticas] ¿Cuánto es el doble de 7?,18,12,14,16,30
"[Matemáticas] ¿Qué número falta en la serie? 10, 20, __, 40",35,15,25,30,30
[Matemáticas] ¿Cuánto es 2 + 2 + 2?,3,6,8,4,30
[Matemáticas] ¿Cuántas patas tienen dos perros?,8,12,6,4,30
[Conocimiento del Medio] ¿Qué parte de la planta está debajo de la tierra?,la flor,la raíz,el tallo,la hoja,30
[Conocimiento del Medio] ¿Cuántas patas tiene un perro?,4,8,2,6,30
[Conocimiento del Medio] ¿Qué necesitan las plantas para crecer?,agua y sal,agua y sol,papel y lápiz,leche y pan,30
[Conocimiento del Medio] ¿Cuál es el planeta donde vivimos?,Marte,Venus,Saturno,Tierra,30
[Conocimiento del Medio] ¿Qué animal nos da leche?,la vaca,el perro,el gato,el gallo,30
[Conocimiento del Medio] ¿Con qué sentido olemos?,los oídos,la nariz,los ojos,la boca,30
[Conocimiento del Medio] ¿Para qué sirven los dientes?,ver,oir,oler,masticar,30
[Formación Cívica y Ética] ¿Cómo debemos tratar a nuestros compañeros?,gritando,ignorandolos,empujando,con respeto,30
[Formación Cívica y Ética] ¿Qué hacemos cuando alguien necesita ayuda?,nos reimos,lo ayudamos,lo ignoramos,nos vamos,30
[Formación Cívica y Ética] ¿Dónde es seguro cruzar la calle?,corriendo,en el paso peatonal,en medio de la calle,entre coches,30
[Formación Cívica y Ética] ¿Qué derecho tienen todos los niños y niñas?,a fumar,a manejar,a trabajar,a la educación,30
[Educación Socioemocional] ¿Cómo se llama la emoción cuando estamos muy contentos?,alegría,tristeza,miedo,enojo,30
"[Educación Socioemocional] Cuando algo nos enoja, ¿qué es mejor hacer?",pegar,gritar,llorar,respirar y calmarnos,30
[Educación Socioemocional] ¿Cómo se siente un amigo cuando lo ayudas?,feliz,enojado,asustado,triste,30
